DeliverableA,DeliverableB,A_to_B_DependencyIDs,B_to_A_DependencyIDs
DEL-01-01,DEL-01-02,DEP-01-01-005,DEP-01-02-004
DEL-01-01,DEL-05-01,DEP-01-01-007,DEP-05-01-004
DEL-01-02,DEL-05-01,DEP-01-02-005,DEP-05-01-005; DEP-05-01-011
DEL-02-01,DEL-02-02,DEP-02-01-005,DEP-02-02-004
DEL-02-01,DEL-02-04,DEP-02-01-004,DEP-0204-E001
DEL-02-03,DEL-02-04,DEP-02-03-008,DEP-0204-E003
DEL-02-03,DEL-03-03,DEP-02-03-009,DEP-03-03-006
DEL-03-01,DEL-03-02,DEP-03-01-006,DEP-03-02-006
DEL-03-01,DEL-03-03,DEP-03-01-007,DEP-03-03-004
DEL-03-01,DEL-05-01,DEP-03-01-008,DEP-05-01-006
DEL-03-02,DEL-03-03,DEP-03-02-007,DEP-03-03-003
DEL-03-02,DEL-03-04,DEP-03-02-008,DEP-03-04-008
DEL-03-02,DEL-03-05,DEP-03-02-009,DEP-03-05-004
DEL-03-02,DEL-04-01,DEP-03-02-010,DEP-04-01-006
DEL-03-02,DEL-04-02,DEP-03-02-012,DEP-04-02-004
DEL-03-03,DEL-03-04,DEP-03-03-005,DEP-03-04-009
DEL-03-04,DEL-07-01,DEP-03-04-011,DEP-07-01-008
DEL-03-05,DEL-03-06,DEP-03-05-006,DEP-0306-007; DEP-0306-008
DEL-03-06,DEL-07-01,DEP-0306-014,DEP-07-01-010
DEL-04-01,DEL-04-02,DEP-04-01-007,DEP-04-02-003
DEL-05-01,DEL-05-02,DEP-05-01-007,DEP-05-02-005
DEL-05-02,DEL-05-03,DEP-05-02-010,DEP-05-03-006
DEL-06-02,DEL-06-03,DEP-06-02-008,DEP-06-03-013
DEL-07-01,DEL-07-02,DEP-07-01-012,DEP-07-02-008; DEP-07-02-009
DEL-07-02,DEL-08-02,DEP-07-02-011,DEP-08-02-008
DEL-07-02,DEL-08-03,DEP-07-02-010,DEP-08-03-007
DEL-08-04,DEL-08-07,DEP-08-04-008,DEP-08-07-010
DEL-08-05,DEL-08-06,DEP-08-05-013,DEP-08-06-006
DEL-08-06,DEL-08-07,DEP-08-06-004,DEP-08-07-011
